expenditure_year,expenditure_date,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue,purpose,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue,position
2023,4/3/2023,Alvertis,Simmons,,5250,Ready Denver,Mayor,,,Electioneering Communications,5222 E 33rd Avenue,,Denver,CO,'80207',No,No,Yes,Leslie Herod,,Support
2023,4/3/2023,,,Impactive Solutions Inc.,337.5,New Americans Victory Fund,City Council,9,,Text Advertising,251 Little Falls Dr,,Wilmington,DE,'19808',No,No,Yes,Candi CdeBaca,,Support
2023,4/3/2023,,,Ascend Digital Strategies,2000,Citizens for a Great Denver,City Council,4,,Support Diana Romero Campbell,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Diana Romero Campbell,,Support
2023,4/3/2023,,,Facebook,1836.3,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,4/3/2023,,,Ascend Digital Strategies,6000,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Travis Leiker,,Support
2023,4/3/2023,,,Facebook,1836.3,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Sarah Parady,,Support
2023,4/3/2023,,,Programmatic,3702.04,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,4/3/2023,,,The Strategy Group,8108.56,Citizens for a Safer Denver,City Council,9,,negative mail on housing,PO Box 3114,,Eldorado Springs,CO,'80025',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,4/3/2023,,,National Research and Polling Group LLC,1030.3,Colorado Working Families Party Independent Expenditure Committee,City Council,9,,Phone calls to support Candi CdeBaca,6521 W 91 St Ave,,Westminster,CO,'80031',No,Yes,Yes,Candi CdeBaca,,Support
2023,4/3/2023,,,Impactive Solutions Inc.,225,New Americans Victory Fund,City Council,3,,Text Advertising,251 Little Falls Dr,,Wilmington,DE,'19808',No,No,Yes,Jamie Torres,,Support
2023,4/3/2023,,,Uplift,10000,A Better Denver,Mayor,,,Media Buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,4/3/2023,,,The Strategy Division,80730,Protect Denver's Future,Mayor,,,direct mail,PO Box 3114,,Eldorado Springs,CO,'80025',No,Yes,Yes,Deborah Ortega,,Support
2023,4/3/2023,,,Programmatic,3702.03,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Sarah Parady,,Support
2023,4/3/2023,,,"CounterPoint Messaging, LLC",10000,Ready Denver,Mayor,,,Electioneering Communications,1205 John Hood Drive,,Rockvale,TN,'37153',No,Yes,Yes,Leslie Herod,,Support
2023,4/3/2023,,,Impactive Solutions Inc.,562.5,New Americans Victory Fund,City Council At-Large,,,Text Advertising,251 Little Falls Dr,,Wilmington,DE,'19808',No,No,Yes,Serena Gonzales Gutierrez,,Support
2023,4/3/2023,,,Ascend Digital Strategies,2000,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Kevin Flynn,,Support
2023,3/31/2023,,,VoterTexting.com,845.03,One Main Street Denver,City Council,1,,Support Amanda Sandoval,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Amanda Sandoval,,Support
2023,3/31/2023,,,VoterTexting.com,2426.7,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Travis Leiker,,Support
2023,3/31/2023,,,VoterTexting.com,845.79,One Main Street Denver,City Council,9,,Support Darrell Watson,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Darrell Watson,,Support
2023,3/31/2023,,,"Meta Platforms, Inc.",40,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Lisa Calderon,,Oppose
2023,3/31/2023,,,Break Something Inc.,5000,A Better Denver!,Mayor,,,Digital Advertisments,1380 Monroe St. NW,#409,Washington,DC,'20010',No,No,Yes,Chris Hansen,,Support
2023,3/31/2023,,,"Meta Platforms, Inc.",20,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Lisa Calderon,,Oppose
2023,3/31/2023,,,Resonance Campaigns,23894.44,Advancing Denver,Mayor,,,Postage,913 Florida Ave NW,,Washington,DC,'20001',No,Yes,Yes,Mike Johnston,,Support
2023,3/31/2023,,,VoterTexting.com,735.89,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,3213 Duke St #194,,Alexandria,VA,'22314',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,4,,Text messages to Support Tony Pigford and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Tony Pigford,,Support
2023,3/30/2023,,,"Meta Platforms, Inc.",20,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,8,,Text messages to Support Shontel Lewis and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Shontel Lewis,,Support
2023,3/30/2023,,,Ascend Digital Strategies,23500,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Travis Leiker,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,10,,Text messages to Support Shannon Hoffman and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Shannon Hoffman,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,175.65,Colorado Working Families Party Independent Expenditure Committee,City Council At-Large,,,Text messages to Support Serena Gonzales-Gutierrez and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,175.65,Colorado Working Families Party Independent Expenditure Committee,City Council At-Large,,,Text messages to Support Sarah Parady and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Sarah Parady,,Support
2023,3/30/2023,,,"Meta Platforms, Inc.",20,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,9,,Text messages to Support Candi CdeBaca and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Candi CdeBaca,,Support
2023,3/30/2023,,,National Research and Polling Group LLC,3500,Colorado Working Families Party Independent Expenditure Committee,City Council,9,,Phone calls to support Candi CdeBaca,6521 W 91 St Ave,,Westminster,CO,'80031',No,No,Yes,Candi CdeBaca,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,4801.1,Colorado Working Families Party Independent Expenditure Committee,Mayor,,,Text messages to Support Lisa Calderon and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Lisa Calderon,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,3,,Text messages to Support Jamie Torres and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Jamie Torres,,Support
2023,3/30/2023,,,Community Labor Administrative Services Inc.,117.1,Colorado Working Families Party Independent Expenditure Committee,City Council,2,,Text messages to Support Tiffany Caudill and other WFP candidates,77 Sands St. #6,,Brooklyn,NY,'11201',No,Yes,Yes,Tiffany Caudill,,Support
2023,3/29/2023,,,Cole Communications,14000,A Safe and Prosperous Denver,City Council At-Large,,,Text messages,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Travis Leiker,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,9,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Darrell Watson,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,9,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Candi CdeBaca,,Oppose
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,8,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Brad Revare,,Support
2023,3/29/2023,,,Resonance Campaigns,16963.69,Advancing Denver,Mayor,,,Postage,913 Florida Ave NW,,Washington,DC,'20001',No,Yes,Yes,Mike Johnston,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,4,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,8,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Shontel Lewis,,Oppose
2023,3/29/2023,,,Cole Communications,3000,A Safe and Prosperous Denver,City Council At-Large,,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Sarah Parady,,Oppose
2023,3/29/2023,,,Grassroots Media,380000,Advancing Denver,Mayor,,,Media Buy,146  Montgomery Ave.,#201,Bala Cynwyd,PA,'19004',No,Yes,Yes,Mike Johnston,,Support
2023,3/29/2023,,,Ascend Digital Strategies,15250,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Kevin Flynn,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,2,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Tiffany Caudill,,Oppose
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,4,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Tony Pigford,,Oppose
2023,3/29/2023,,,Ascend Digital Strategies,23000,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Travis Leiker,,Support
2023,3/29/2023,,,Ascend Digital Strategies,16500,Citizens for a Great Denver,City Council,4,,Support Diana Romero Campbell,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/29/2023,,,Cole Communications,1500,A Safe and Prosperous Denver,City Council,2,,Text messaging,100 East St. Vrain,105,Colorado Springs,CO,'80903',No,Yes,Yes,Kevin Flynn,,Support
2023,3/29/2023,,,Wavelength Strategy ,50000,Advancing Denver,Mayor,,,Media,712 H. Street NE.,Unit 526,Washington,DC,'20002',No,Yes,Yes,Mike Johnston,,Support
2023,3/28/2023,Eddie,Geller,,2000,Building a Better Denver,City Council At-Large,,,Digital TV Ad Production,2620 Bermuda Lake Dr,,Brandon,FL,'33510',No,Yes,Yes,Penfield Tate,,Support
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Leslie Herod,,Support
2023,3/28/2023,,,LC Media,25000,A Better Denver,Mayor,,,Media buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Sarah Parady,,Support
2023,3/28/2023,,,"Meta Platforms, Inc.",40,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Deborah Ortega,,Support
2023,3/28/2023,,,Superior Blue,3581.25,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Sarah Parady,,Support
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Lisa Calderon,,Support
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Serena Gonzales Gutierrez,,Support
2023,3/28/2023,,,Uplift,15000,A Better Denver,Mayor,,,Media buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,3/28/2023,,,Superior Blue,3581.25,CWA-COPE Treasury,City Council At-Large,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Serena Gonzales Gutierrez,,Support
2023,3/28/2023,,,"Meta Platforms, Inc.",20,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Ean Tafoya,,Oppose
2023,3/28/2023,,,Superior Blue,1189.25,CWA-COPE Treasury,Mayor,,,Information on Candidates,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Chris Hansen,,Support
2023,3/28/2023,,,Title Fight LLC,8000,Building a Better Denver,City Council At-Large,,,Digital Advertising,900 Keosauqua Way,Suite 333,Des Moines,IA,'50309',No,Yes,Yes,Penfield Tate,,Support
2023,3/28/2023,,,Superior Blue,7888,CWA-COPE Treasury,City Council,3,,Information on Candidate,"12701 Gordon Blvd, Apartment 1",,Woodbridge,VA,'22192',No,No,Yes,Jamie Torres,,Support
2023,3/28/2023,,,"Meta Platforms, Inc.",20,Save Denver Now,Mayor,,,Meta Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Lisa Calderon,,Oppose
2023,3/27/2023,,,Citizens for a Safe and Clean Denver,200,Save Denver Now,Mayor,,,Monthly Administrative Services,PO BOX 103021,,DENVER,CO,'80250',No,No,Yes,Leslie Herod,,Oppose
2023,3/27/2023,,,Wavelength Strategy ,50000,Advancing Denver,Mayor,,,Media buy,712 H. Street NE.,Unit 526,Washington,DC,'20002',No,Yes,Yes,Mike Johnston,,Support
2023,3/27/2023,,,Programmatic,3332.22,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/27/2023,,,Hudson Bay Company,2260.45,One Main Street Denver,City Council,2,,Support Kevin Flynn,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Kevin Flynn,,Support
2023,3/27/2023,,,We the People Strategies,1360,One Main Street Denver,City Council,2,,Support Kevin Flynn,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Kevin Flynn,,Support
2023,3/27/2023,,,Hudson Bay Company,1245.89,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,5631 S. 48th Street,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/27/2023,,,We the People Strategies,1020,One Main Street Denver,City Council,9,,Support Darrell Watson,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Darrell Watson,,Support
2023,3/27/2023,,,We the People Strategies,13090,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,No,Yes,Travis Leiker,,Support
2023,3/27/2023,,,Hudson Bay Company,2185,One Main Street Denver,City Council,9,,Support Darrell Watson,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Darrell Watson,,Support
2023,3/27/2023,,,Sticky LLC,1020,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/27/2023,,,Hudson Bay Company,9888.85,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,5631 S. 48th Street,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Travis Leiker,,Support
2023,3/27/2023,,,Facebook,1732.08,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/27/2023,,,Programmatic,3332.21,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,No,Yes,Sarah Parady,,Support
2023,3/27/2023,,,Facebook,1732.08,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Sarah Parady,,Support
2023,3/27/2023,,,We the People Strategies,10710,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/27/2023,,,Sticky LLC,1020,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/27/2023,,,Hudson Bay Company,4197.5,One Main Street Denver,City Council,5,,Support Amanda Sawyer,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,Yes,Yes,Amanda Sawyer,,Support
2023,3/26/2023,,,"Meta Platforms, Inc.",40,Save Denver Now,Mayor,,,Instagram Ads,1601 Willow Road,,Menlo Park,CA,'94025',No,Yes,Yes,Leslie Herod,,Oppose
2023,3/26/2023,,,Ascend Digital Strategies,20000,Citizens for a Great Denver,City Council,9,,Support Darrell Watson,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Darrell Watson,,Support
2023,3/25/2023,,,M+R,1500,SEIU Colorado State Council,City Council,8,,Digital for Lewis,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Shontel Lewis,,Support
2023,3/25/2023,,,M+R,1500,SEIU Colorado State Council,City Council,10,,Digital for Hinds,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Chris Hinds,,Support
2023,3/25/2023,,,M+R,800,SEIU Colorado State Council,City Council,7,,Digital for Alvidrez,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Flor Alvidrez,,Support
2023,3/25/2023,,,M+R,800,SEIU Colorado State Council,City Council,5,,Digital for Sawyer,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,No,Yes,Amanda Sawyer,,Support
2023,3/25/2023,,,M+R,7000,SEIU Colorado State Council,City Council At-Large,,,Digital for Gonzales-Gutierez,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/25/2023,,,Ascend Digital Strategies,12375,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Kevin Flynn,,Support
2023,3/25/2023,,,M+R,7000,SEIU Colorado State Council,City Council At-Large,,,Digital for Parady,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Sarah Parady,,Support
2023,3/25/2023,,,M+R,800,SEIU Colorado State Council,City Council,6,,Digital for Kashmann,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Paul Kashmann,,Support
2023,3/25/2023,,,M+R,800,SEIU Colorado State Council,City Council,2,,Digital for Flynn,1101 Connecticut Avenue NW,7th Floor,Washington DC,DC,'20036',No,Yes,Yes,Kevin Flynn,,Support
2023,3/25/2023,,,M+R,2500,SEIU Colorado State Council,City Council,9,,Digital for CdeBaca,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Candi CdeBaca,,Support
2023,3/25/2023,,,M+R,800,SEIU Colorado State Council,City Council,3,,Digital for Torres,1101 Connecticut Avenue NW,,Washington DC,DC,'20036',No,Yes,Yes,Jamie Torres,,Support
2023,3/25/2023,,,Ascend Digital Strategies,35500,Citizens for a Great Denver,City Council At-Large,,,Support Travis Leiker,"641 S St., NW",#305,Washington,DC,'20001',No,Yes,Yes,Travis Leiker,,Support
2023,3/24/2023,,,Artist Proof Colllective,20243.4,SEIU Colorado State Council,City Council At-Large,,,Mail for Parady,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Sarah Parady,,Support
2023,3/24/2023,,,Artist Proof Collective,1957.8,SEIU Colorado State Council,City Council,7,,Mail for Alvidrez,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Flor Alvidrez,,Support
2023,3/24/2023,,,Artist Proof Collective,1694,SEIU Colorado State Council,City Council,8,,Mail for Lewis,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Shontel Lewis,,Support
2023,3/24/2023,,,Artist Proof Colllective,2314,SEIU Colorado State Council,City Council,5,,Mail for Sawyer,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Amanda Sawyer,,Support
2023,3/24/2023,,,Artist Proof Colllective,1887.2,SEIU Colorado State Council,City Council,9,,Mail for CdeBaca,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Candi CdeBaca,,Support
2023,3/24/2023,,,Artist Proof Colllective,1297.4,SEIU Colorado State Council,City Council,2,,Mail for Kevin Flynn,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Kevin Flynn,,Support
2023,3/24/2023,,,Artist Proof Colllective,2026.4,SEIU Colorado State Council,City Council,6,,Mail for Kashmann,760 Umatilla St,,Denver,CO,'80204',No,No,Yes,Paul Kashmann,,Support
2023,3/24/2023,,,Artist Proof Colllective,20243.4,SEIU Colorado State Council,City Council At-Large,,,Mail for Serena,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/23/2023,,,"Moxie Media, Inc.",7094,Citizens for a Great Denver,City Council,2,,Support Kevin Flynn,PO Box 30084,,Seattle,WA,'98113',No,Yes,Yes,Kevin Flynn,,Support
2023,3/23/2023,,,Gamino Printing,1835.78,Colorado Working Families Party Independent Expenditure Committee,City Council,4,,Mailer to Support Tony Pigford and other WFP candidates,P.O. Box 9839,,Denver,CO,'80209',No,Yes,Yes,Tony Pigford,,Support
2023,3/23/2023,,,Plumb Marketing,2173.22,Citizens for a Great Denver,City Council,1,,Support Amanda Pauline Sandoval,2899 S Santa Fe Drive,Suite 2,Englewood,CO,'80110',No,Yes,Yes,Amanda Sandoval,,Support
2023,3/23/2023,,,Gamino Printing,1835.78,Colorado Working Families Party Independent Expenditure Committee,City Council,8,,Mailer to Support Shontel Lewis and other WFP candidates,P.O. Box 9839,,Denver,CO,'80209',No,Yes,Yes,Shontel Lewis,,Support
